[00:00:01.537] (7fad9f3f0700) INFO   sequence: 615475226615213226217557                           score: -8         nodes:14         time: 211µs
[00:00:01.538] (7fad9f3f0700) INFO   sequence: 5127773675347376151                                score: 10         nodes:180        time: 327µs
[00:00:01.551] (7fad9f3f0700) INFO   sequence: 7717464322265274226441151                          score: 3          nodes:15580      time: 12243µs
[00:00:01.558] (7fad9f3f0700) INFO   sequence: 55772343111646575236                               score: 5          nodes:6483       time: 5763µs
[00:00:01.575] (7fad9f3f0700) INFO   sequence: 72276133256716235275764                            score: 7          nodes:19452      time: 15616µs
[00:00:01.576] (7fad9f3f0700) INFO   sequence: 65452257612667655615271112                         score: -4         nodes:303        time: 420µs
[00:00:01.577] (7fad9f3f0700) INFO   sequence: 2577525532532441626                                score: -9         nodes:98         time: 257µs
[00:00:01.584] (7fad9f3f0700) INFO   sequence: 35653272262316437167672                            score: -3         nodes:7561       time: 6016µs
[00:00:01.585] (7fad9f3f0700) INFO   sequence: 1243234332773245342572475767                       score: 5          nodes:50         time: 232µs
[00:00:01.586] (7fad9f3f0700) INFO   sequence: 7535125153114313                                   score: -11        nodes:37         time: 220µs
[00:00:01.757] (7fad9f3f0700) INFO   sequence: 253527614166761447574                              score: -6         nodes:214851     time: 169042µs
[00:00:01.759] (7fad9f3f0700) INFO   sequence: 245715112455274665623715716                        score: -2         nodes:1124       time: 1152µs
[00:00:01.760] (7fad9f3f0700) INFO   sequence: 56222765165254226556673774                         score: 7          nodes:7          time: 215µs
[00:00:01.763] (7fad9f3f0700) INFO   sequence: 77426557613323765616122535                         score: 2          nodes:2823       time: 2339µs
[00:00:01.765] (7fad9f3f0700) INFO   sequence: 4644613266742167756722771541                       score: -4         nodes:929        time: 936µs
[00:00:01.766] (7fad9f3f0700) INFO   sequence: 452631744441223222647115                           score: 6          nodes:292        time: 412µs
[00:00:01.786] (7fad9f3f0700) INFO   sequence: 6462662734332655671542313                          score: 8          nodes:21787      time: 18934µs
[00:00:01.787] (7fad9f3f0700) INFO   sequence: 4373163754466323                                   score: -12        nodes:18         time: 210µs
[00:00:01.788] (7fad9f3f0700) INFO   sequence: 45542744735462742                                  score: -11        nodes:37         time: 217µs
[00:00:01.789] (7fad9f3f0700) INFO   sequence: 52225553533233247312617                            score: -7         nodes:56         time: 242µs
[00:00:02.057] (7fad9f3f0700) INFO   sequence: 3246237456535345371512                             score: 9          nodes:310463     time: 266166µs
[00:00:02.693] (7fad9f3f0700) INFO   sequence: 212532617775164141                                 score: 10         nodes:768206     time: 634219µs
[00:00:02.694] (7fad9f3f0700) INFO   sequence: 67421253275551744225213                            score: 8          nodes:20         time: 233µs
[00:00:02.695] (7fad9f3f0700) INFO   sequence: 33313546767235271352                               score: 7          nodes:115        time: 281µs
[00:00:02.697] (7fad9f3f0700) INFO   sequence: 411364471753646417433177755                        score: 3          nodes:624        time: 713µs
[00:00:02.699] (7fad9f3f0700) INFO   sequence: 1224277247774721613545115                          score: -6         nodes:1392       time: 1331µs
[00:00:02.703] (7fad9f3f0700) INFO   sequence: 76543123446324223431432127                         score: -2         nodes:3653       time: 3531µs
[00:00:02.745] (7fad9f3f0700) INFO   sequence: 5165132157277276134227475                          score: 8          nodes:48336      time: 40528µs
[00:00:02.747] (7fad9f3f0700) INFO   sequence: 7646171641443471716532164                          score: -2         nodes:1021       time: 1084µs
[00:00:02.748] (7fad9f3f0700) INFO   sequence: 27625643743643521753111                            score: 8          nodes:426        time: 511µs
[00:00:03.257] (7fad9f3f0700) INFO   sequence: 522264452736756                                    score: 12         nodes:651460     time: 507531µs
[00:00:03.268] (7fad9f3f0700) INFO   sequence: 57553212327714336423676622                         score: -2         nodes:12593      time: 10258µs
[00:00:03.269] (7fad9f3f0700) INFO   sequence: 553332366276267756111555776                        score: 7          nodes:7          time: 205µs
[00:00:03.270] (7fad9f3f0700) INFO   sequence: 7725135517613477                                   score: 12         nodes:9          time: 205µs
[00:00:03.272] (7fad9f3f0700) INFO   sequence: 7555726532567141222715416466                       score: -6         nodes:14         time: 383µs
[00:00:03.273] (7fad9f3f0700) INFO   sequence: 734476631737161177341324354                        score: 7          nodes:457        time: 692µs
[00:00:03.276] (7fad9f3f0700) INFO   sequence: 62623724435526761122431133                         score: -2         nodes:1217       time: 1607µs
[00:00:03.281] (7fad9f3f0700) INFO   sequence: 271411161457254361726                              score: -7         nodes:4299       time: 4086µs
[00:00:03.282] (7fad9f3f0700) INFO   sequence: 7617657562173664715555                             score: 9          nodes:8          time: 208µs
[00:00:03.292] (7fad9f3f0700) INFO   sequence: 777322726313643756152546                           score: -3         nodes:9908       time: 8903µs
[00:00:03.714] (7fad9f3f0700) INFO   sequence: 16445643742326746657                               score: 9          nodes:502595     time: 420966µs
[00:00:03.727] (7fad9f3f0700) INFO   sequence: 3612577271337526673343274                          score: -4         nodes:12049      time: 11009µs
[00:00:03.728] (7fad9f3f0700) INFO   sequence: 7125417577721225375266556                          score: 7          nodes:21         time: 223µs
[00:00:03.729] (7fad9f3f0700) INFO   sequence: 65644113777615216373313743                         score: 7          nodes:8          time: 201µs
[00:00:03.730] (7fad9f3f0700) INFO   sequence: 546167317562564251256237162                        score: -5         nodes:502        time: 675µs
[00:00:04.234] (7fad9f3f0700) INFO   sequence: 6673377312746732                                   score: -10        nodes:596382     time: 502329µs
[00:00:04.235] (7fad9f3f0700) INFO   sequence: 4641133162345542                                   score: 11         nodes:23         time: 249µs
[00:00:04.236] (7fad9f3f0700) INFO   sequence: 5365373625572524614352316                          score: 8          nodes:8          time: 209µs
[00:00:04.238] (7fad9f3f0700) INFO   sequence: 657341635416555625471                              score: 9          nodes:722        time: 781µs
[00:00:04.241] (7fad9f3f0700) INFO   sequence: 6747357277725656364415                             score: -8         nodes:1996       time: 1849µs
[00:00:04.282] (7fad9f3f0700) INFO   sequence: 757154666551751363272                              score: 8          nodes:51144      time: 39788µs
[00:00:04.286] (7fad9f3f0700) INFO   sequence: 6132623667546521255623127                          score: -2         nodes:4817       time: 3777µs
[00:00:04.292] (7fad9f3f0700) INFO   sequence: 315225171236276777666271                           score: 6          nodes:5328       time: 4460µs
[00:00:04.293] (7fad9f3f0700) INFO   sequence: 113422122167672244746117367                        score: 2          nodes:328        time: 450µs
[00:00:04.294] (7fad9f3f0700) INFO   sequence: 5347374145757771622512325                          score: 8          nodes:8          time: 197µs
[00:00:04.304] (7fad9f3f0700) INFO   sequence: 31124166611476652461                               score: -7         nodes:11799      time: 9302µs
[00:00:04.341] (7fad9f3f0700) INFO   sequence: 62523333557451566631264                            score: -6         nodes:41504      time: 35433µs
[00:00:04.342] (7fad9f3f0700) INFO   sequence: 713311533551231314755                              score: 10         nodes:7          time: 209µs
[00:00:04.347] (7fad9f3f0700) INFO   sequence: 51137351146565342411                               score: -10        nodes:4956       time: 4186µs
[00:00:04.356] (7fad9f3f0700) INFO   sequence: 3543166713733245231117                             score: -4         nodes:9457       time: 7916µs
[00:00:04.366] (7fad9f3f0700) INFO   sequence: 3217735763522667143373                             score: 8          nodes:10126      time: 8895µs
[00:00:04.372] (7fad9f3f0700) INFO   sequence: 6442147133575712244172                             score: -8         nodes:6001       time: 4534µs
[00:00:04.374] (7fad9f3f0700) INFO   sequence: 22756642677321336736612773                         score: 2          nodes:1126       time: 1085µs
[00:00:04.375] (7fad9f3f0700) INFO   sequence: 67647316672176756255331                            score: -8         nodes:14         time: 233µs
[00:00:04.376] (7fad9f3f0700) INFO   sequence: 625162614337765                                    score: -11        nodes:30         time: 217µs
[00:00:06.704] (7fad9f3f0700) INFO   sequence: 47254525565152712                                  score: 8          nodes:2868759    time: 2326824µs
[00:00:06.707] (7fad9f3f0700) INFO   sequence: 446755524273322124445127                           score: 3          nodes:1873       time: 1843µs
[00:00:06.711] (7fad9f3f0700) INFO   sequence: 53337315253236517157261411                         score: 2          nodes:3184       time: 2598µs
[00:00:06.712] (7fad9f3f0700) INFO   sequence: 52126366244377536726                               score: -10        nodes:16         time: 207µs
[00:00:07.467] (7fad9f3f0700) INFO   sequence: 5266416344462647                                   score: 12         nodes:941802     time: 754086µs
